_NAME_,_LABEL_, sample_promo_coeffs , test_promo_coeffs , total_promo_coeffs 
Grade_by_step3occ_621_grade_4_s7,  occ_621_grade_4_step_07,-0.7578 ,-0.6738 ,-0.7312 
Grade_by_step3occ_621_grade_4_s8,  occ_621_grade_4_step_08,-0.6457 ,-0.5772 ,-0.5784 
Grade_by_step3occ_621_grade_4_s9,  occ_621_grade_4_step_09,-0.5381 ,-0.5012 ,-0.6083 
Grade_by_step3occ_621_grade_4_st,  occ_621_grade_4_step_01, 1.8295 , 1.9520 , 1.8382 
Grade_by_step3occ_621_grade_5_10,  occ_621_grade_5_step_10,-1.5842 ,-1.5676 ,-1.5885 
Grade_by_step3occ_621_grade_5_s2,  occ_621_grade_5_step_02,-2.0538 ,-2.0406 ,-2.0566 
Grade_by_step3occ_621_grade_5_s3,  occ_621_grade_5_step_03,-2.0297 ,-2.0056 ,-2.0322 
Grade_by_step3occ_621_grade_5_s4,  occ_621_grade_5_step_04,-2.0334 ,-2.0365 ,-2.0482 
Grade_by_step3occ_621_grade_5_s5,  occ_621_grade_5_step_05,-2.0319 ,-2.0207 ,-2.0441 
Grade_by_step3occ_621_grade_5_s6,  occ_621_grade_5_step_06,-2.0010 ,-1.9924 ,-2.0091 
Grade_by_step3occ_621_grade_5_s7,  occ_621_grade_5_step_07,-1.9237 ,-1.9133 ,-1.9313 
Grade_by_step3occ_621_grade_5_s8,  occ_621_grade_5_step_08,-1.8181 ,-1.8156 ,-1.8279 
Grade_by_step3occ_621_grade_5_s9,  occ_621_grade_5_step_09,-1.7816 ,-1.7663 ,-1.7867 
Grade_by_step3occ_621_grade_5_st,  occ_621_grade_5_step_01,-1.8504 ,-1.8344 ,-1.8640 
Grade_by_step3occ_621_grade_6_10,  occ_621_grade_6_step_10,-1.5636 ,-1.5371 ,-1.5613 
Grade_by_step3occ_621_grade_6_s2,  occ_621_grade_6_step_02,-1.9499 ,-1.8461 ,-1.8966 
Grade_by_step3occ_621_grade_6_s3,  occ_621_grade_6_step_03,-1.9013 ,-1.8676 ,-1.9059 
Grade_by_step3occ_621_grade_6_s4,  occ_621_grade_6_step_04,-2.1145 ,-2.0745 ,-2.1071 
Grade_by_step3occ_621_grade_6_s5,  occ_621_grade_6_step_05,-1.9938 ,-1.9619 ,-1.9938 
Grade_by_step3occ_621_grade_6_s6,  occ_621_grade_6_step_06,-1.8982 ,-1.8698 ,-1.8848 
Grade_by_step3occ_621_grade_6_s7,  occ_621_grade_6_step_07,-1.8788 ,-1.8568 ,-1.8690 
Grade_by_step3occ_621_grade_6_s8,  occ_621_grade_6_step_08,-1.6908 ,-1.7148 ,-1.7241 
Grade_by_step3occ_621_grade_6_s9,  occ_621_grade_6_step_09,-1.6156 ,-1.5881 ,-1.6146 
Grade_by_step3occ_621_grade_6_st,  occ_621_grade_6_step_01,-1.6517 ,-1.6295 ,-1.6616 
Grade_by_step3occ_621_grade_99_2,  occ_621_grade_99_step_02, 0.8829 , 0.6914 , 0.7140 
Grade_by_step3occ_621_grade_99_3,  occ_621_grade_99_step_05, 1.0779 , 0.2415 , 0.6542 
Grade_by_step3occ_621_grade_99_4,  occ_621_grade_99_step_06, 0.9229 , 1.3909 , 1.1131 
Grade_by_step3occ_621_grade_99_5,  occ_621_grade_99_step_07, 1.5109 , 0.7482 , 1.0436 
Grade_by_step3occ_621_grade_99_6,  occ_621_grade_99_step_08, 0.7151 , 0.6621 , 0.7022 
Grade_by_step3occ_621_grade_99_7,  occ_621_grade_99_step_09, 1.1133 , 1.0928 , 1.0147 
Grade_by_step3occ_621_grade_99_8,  occ_621_grade_99_step_10, 0.7558 , 0.9301 , 0.8854 
Grade_by_step3occ_621_grade_99_s,  occ_621_grade_99_step_01, 1.4224 , 0.2587 , 0.7781 
Intercept,Intercept: Promotion_flag=1,-1.7425 ,-1.7642 ,-1.7266 
Perf1,Perf1 = perf in('5' '4');, 0.4048 , 0.4154 , 0.3939 
Time_in_job,Time_in_job = aptyrs ,-0.0319 ,-0.0321 ,-0.0320 
perf2,perf2 = perf in('3');,-0.1015 ,-0.0976 ,-0.1163 
