soc,wage_50_comparison_groups,wage_10,wage_25,wage_50,education,experience,training,english,health_insurance_pct,regular_schedule_pct,full_time_pct,safety_conditions,male_75+_pct,male_pct,employment_2014,employment_2024,growth_2014_2024,growth_2014_2024_pct,growth_replacement_2014_2024
492096,33000,19310,24000,31360,2,None,Short-term on-the-job training,3.5,0.77,0.796,1,11,Yes,0.919,11.5,5.8,-5.8,-0.5,2
434111,32000,20520,25640,31410,1,None,Short-term on-the-job training,3.7,0.856,0.721,0.777,7,No,0.2,198,208.3,10.4,0.052,55.5
319097,27000,22850,26690,31630,2,None,None,4.3,0.876,0.905,0.818,9,No,0.126,112.7,140.8,28.1,0.249,51.6
274021,32000,18850,22600,31710,1,None,Long-term on-the-job training,3.2,0.612,0.08,0.633,4,No,0.569,124.9,128.8,3.9,0.031,34.5
519191,25000,21040,25220,31710,1,None,Moderate-term on-the-job training,3.4,0.73,0.692,0.955,12,No,0.549,18.4,17.1,-1.2,-0.068,4.8
512021,30000,20390,24650,31730,1,None,Moderate-term on-the-job training,2.2,0.752,0.861,0.958,11,No,0.533,14.9,14.1,-0.9,-0.057,1.8
472061,30000,20640,25380,31910,0,None,Short-term on-the-job training,3.2,0.437,0.411,0.899,12,Yes,0.975,1159.1,1306.5,147.4,0.127,378.6
519121,28000,21400,25740,31940,1,None,Moderate-term on-the-job training,2.5,0.698,0.947,0.95,12,Yes,0.903,97.7,97,-0.7,-0.007,18.4
292041,29000,20860,25490,31980,2,None,None,4.3,0.862,0.809,0.918,12,No,0.722,241.2,299.6,58.5,0.242,98
516093,29000,19940,24620,32020,1,None,Moderate-term on-the-job training,3.1,0.467,0.726,0.924,8,Yes,0.845,42.2,40.4,-1.8,-0.043,10.8
537011,25700,21770,26410,32050,0,None,Short-term on-the-job training,4,0.813,0.338,0.911,12,Yes,0.856,39.7,39.6,-0.1,-0.002,11.5
537051,30000,21640,26040,32090,0,None,Short-term on-the-job training,3.5,0.734,0.692,0.957,11,Yes,0.932,530.9,543.5,12.6,0.024,144.7
519041,28000,21040,25570,32160,1,None,Moderate-term on-the-job training,2.7,0.771,0.759,0.954,10,Yes,0.871,68.2,59,-9.2,-0.136,24.4
372021,30000,21270,26210,32160,1,None,Moderate-term on-the-job training,3.1,0.673,0.536,0.923,12,Yes,0.962,74.1,73.2,-0.9,-0.012,18.6
519032,28000,21010,25490,32190,1,None,Short-term on-the-job training,2.5,0.665,0.735,0.803,10,Yes,0.79,63.6,58.4,-5.2,-0.081,12.7
517011,32000,20550,25380,32270,1,None,Moderate-term on-the-job training,2.2,0.642,0.574,0.94,9,Yes,0.962,98.1,99.3,1.3,0.013,9.2
